year,start,flag1,team1,flag2,team2,score1,score2,round,OT,pos,pso1,pso2
2002,2002-06-01,uru,Uruguay,den,Denmark,1,2,Round 1 - Group A,N,N,,
2002,2002-06-06,fra,France,uru,Uruguay,0,0,Round 1 - Group A,N,N,,
2002,2002-06-06,den,Denmark,sen,Senegal,1,1,Round 1 - Group A,N,N,,
2002,2002-06-11,den,Denmark,fra,France,2,0,Round 1 - Group A,N,N,,
2002,2002-06-11,sen,Senegal,uru,Uruguay,3,3,Round 1 - Group A,N,N,,
2002,2002-06-02,par,Paraguay,rsa,South Africa,2,2,Round 1 - Group B,N,N,,
2002,2002-06-02,esp,Spain,svn,Slovenia,3,1,Round 1 - Group B,N,N,,
2002,2002-06-07,esp,Spain,par,Paraguay,3,1,Round 1 - Group B,N,N,,
2002,2002-06-08,rsa,South Africa,svn,Slovenia,1,0,Round 1 - Group B,N,N,,
2002,2002-06-12,rsa,South Africa,esp,Spain,2,3,Round 1 - Group B,N,N,,
2002,2002-06-12,svn,Slovenia,par,Paraguay,1,3,Round 1 - Group B,N,N,,
2002,2002-06-03,bra,Brazil,tur,Turkey,2,1,Round 1 - Group C,N,N,,
2002,2002-06-04,chn,China PR,crc,Costa Rica,0,2,Round 1 - Group C,N,N,,
2002,2002-06-08,bra,Brazil,chn,China PR,4,0,Round 1 - Group C,N,N,,
2002,2002-06-09,crc,Costa Rica,tur,Turkey,1,1,Round 1 - Group C,N,N,,
2002,2002-06-13,crc,Costa Rica,bra,Brazil,2,5,Round 1 - Group C,N,N,,
2002,2002-06-13,tur,Turkey,chn,China PR,3,0,Round 1 - Group C,N,N,,
2002,2002-06-04,kor,South Korea,pol,Poland,2,0,Round 1 - Group D,N,N,,
2002,2002-06-05,usa,United States,por,Portugal,3,2,Round 1 - Group D,N,N,,
2002,2002-06-10,kor,South Korea,usa,United States,1,1,Round 1 - Group D,N,N,,
2002,2002-06-10,por,Portugal,pol,Poland,4,0,Round 1 - Group D,N,N,,
2002,2002-06-14,por,Portugal,kor,South Korea,0,1,Round 1 - Group D,N,N,,
2002,2002-06-14,pol,Poland,usa,United States,3,1,Round 1 - Group D,N,N,,
2002,2002-06-01,irl,Republic of Ireland,cmr,Cameroon,1,1,Round 1 - Group E,N,N,,
2002,2002-06-01,ger,Germany,ksa,Saudi Arabia,8,0,Round 1 - Group E,N,N,,
2002,2002-06-05,ger,Germany,irl,Republic of Ireland,1,1,Round 1 - Group E,N,N,,
2002,2002-06-06,cmr,Cameroon,ksa,Saudi Arabia,1,0,Round 1 - Group E,N,N,,
2002,2002-06-11,cmr,Cameroon,ger,Germany,0,2,Round 1 - Group E,N,N,,
2002,2002-06-11,ksa,Saudi Arabia,irl,Republic of Ireland,0,3,Round 1 - Group E,N,N,,
2002,2002-06-02,eng,England,swe,Sweden,1,1,Round 1 - Group F,N,N,,
